item_id,name,type,description
white-rumped-sandpiper,"White-rumped Sandpiper",,species,,""
white-throated-sparrow,"White-throated Sparrow",,species,,""
white-winged-scoter,"White-winged Scoter",,species,,""
willow-flycatcher,"Willow Flycatcher",,species,,""
wilson's-plover,"Wilson's Plover",,species,,""
wilson's-snipe,"Wilson's Snipe",,species,,""
winter-wren,"Winter Wren",,species,,""
wood-stork,"Wood Stork",,species,,""
wood-thrush,"Wood Thrush",,species,,""
worm-eating-warbler,"Worm-eating Warbler",,species,,""
yellow-billed-cuckoo,"Yellow-billed Cuckoo",,species,,""
yellow-rumped-warbler,"Yellow-rumped Warbler",,species,,""
yellow-throated-vireo,"Yellow-throated Vireo",,species,,""
least-bittern,"Least Bittern",,species,,""
yellow-warbler,"Yellow Warbler",,species,,""
boat-tailed-grackle,"Boat-tailed Grackle",,species,,""
bobolink,"Bobolink",,species,,""
bonaparte's-gull,"Bonaparte's Gull",,species,,""
brewer's-blackbird,"Brewer's Blackbird",,species,,""
brown-thrasher,"Brown Thrasher",,species,,""
bufflehead,"Bufflehead",,species,,""
canada-warbler,"Canada Warbler",,species,,""
canvasback,"Canvasback",,species,,""
cape-may-warbler,"Cape May Warbler",,species,,""
carolina-chickadee,"Carolina Chickadee",,species,,""
carolina-wren,"Carolina Wren",,species,,""
chimney-swift,"Chimney Swift",,species,,""
chipping-sparrow,"Chipping Sparrow",,species,,""
common-gallinule,"Common Gallinule",,species,,""
common-merganser,"Common Merganser",,species,,""
connecticut-warbler,"Connecticut Warbler",,species,,""
dark-eyed-junco,"Dark-eyed Junco",,species,,""
dickcissel,"Dickcissel",,species,,""
double-crested-cormorant,"Double-crested Cormorant",,species,,""
dunlin,"Dunlin",,species,,""
eastern-bluebird,"Eastern Bluebird",,species,,""
eastern-kingbird,"Eastern Kingbird",,species,,""
eastern-meadowlark,"Eastern Meadowlark",,species,,""
painted-bunting,"Painted Bunting",,species,,""
eastern-towhee,"Eastern Towhee",,species,,""
eastern-wood-pewee,"Eastern Wood-Pewee",,species,,""
european-starling,"European Starling",,species,,""
evening-grosbeak,"Evening Grosbeak",,species,,""
field-sparrow,"Field Sparrow",,species,,""
golden-eagle,"Golden Eagle",,species,,""
