item_id,property,value
piping-plover,AOS4 Code,"PIPL"
piping-plover,AOS59 Code,"461"
piping-plover,AOS6 Code,"CHAMEL"
piping-plover,AOS60 Code,"382"
piping-plover,Audubon Conservation Plan,"1"
piping-plover,Avibase Code,"671B69FE824DC9FF"
piping-plover,Common Name,"Piping Plover"
piping-plover,eBird Code,"pipplo"
piping-plover,Family,"Charadriidae"
piping-plover,Federal Status,"threatened"
piping-plover,Genus,"Charadrius"
piping-plover,Order,"Charadriiformes"
piping-plover,PIF Half Life,"0"
piping-plover,Plan,"Status Review And Conservation Recommendations For The Gull-Billed Tern In North America 2010"
piping-plover,Scientific Name,"Charadrius melodus"
piping-plover,Species Taxonomy,"melodus"
piping-plover,State Status,"threatened"
piping-plover,WAP15 ID,"ncwap15-spp-piping-plover"
piping-plover,Audubon Priority,"1"
piping-plover,NC Present,"NC"
piping-plover,SGCN,"1"
piping-plover,WAP Management Concern,"1"
piping-plover,Present Breeding,"1"
piping-plover,Present Wintering,"1"
piping-plover,WAP Evaluated,"1"
velvet-scoter,AOS4 Code,"VESC"
velvet-scoter,AOS59 Code,"68"
velvet-scoter,AOS6 Code,"MENFUS"
velvet-scoter,AOS60 Code,"64"
velvet-scoter,Avibase Code,"8C602FD9D2A0A234"
velvet-scoter,Common Name,"Velvet Scoter"
velvet-scoter,eBird Code,"whwsco3"
velvet-scoter,Family,"Anatidae"
velvet-scoter,Genus,"Melanitta"
velvet-scoter,Order,"Anseriformes"
velvet-scoter,PIF Half Life,"0"
velvet-scoter,PIF Pop Est,"400000"
velvet-scoter,Scientific Name,"Melanitta fusca"
velvet-scoter,Species Taxonomy,"fusca"
velvet-scoter,WAP15 ID,"ncwap15-spp-white-winged-scoter"
velvet-scoter,NC Present,"NC"
velvet-scoter,SGCN,"1"
velvet-scoter,WAP Management Concern,"1"
velvet-scoter,Present Wintering,"1"
velvet-scoter,WAP Evaluated,"1"
acadian-flycatcher,AOS4 Code,"ACFL"
acadian-flycatcher,AOS59 Code,"1303"
acadian-flycatcher,AOS6 Code,"EMPVIR"
acadian-flycatcher,AOS60 Code,"1139"
acadian-flycatcher,Avibase Code,"2778A3F42BBFEBD5"
acadian-flycatcher,Common Name,"Acadian Flycatcher"
acadian-flycatcher,eBird Code,"acafly"
acadian-flycatcher,Family,"Tyrannidae"
acadian-flycatcher,Genus,"Empidonax"
acadian-flycatcher,Order,"Passeriformes"
acadian-flycatcher,PIF Pop Est,"5227271"
acadian-flycatcher,Plan,"South Atlantic Migratory Bird Initiative Implmentation Plan 2008"
acadian-flycatcher,Scientific Name,"Empidonax virescens"
acadian-flycatcher,Species Taxonomy,"virescens"
acadian-flycatcher,WAP15 ID,"ncwap15-spp-acadian-flycatcher"
acadian-flycatcher,NC Present,"NC"
acadian-flycatcher,SGCN,"1"
acadian-flycatcher,Present Breeding,"1"
acadian-flycatcher,WAP Evaluated,"1"
alder-flycatcher,AOS4 Code,"ALFL"
alder-flycatcher,AOS59 Code,"1304"
alder-flycatcher,AOS6 Code,"EMPALN"
alder-flycatcher,AOS60 Code,"1140"
alder-flycatcher,Avibase Code,"338088120A17D3EA"
alder-flycatcher,Common Name,"Alder Flycatcher"
alder-flycatcher,eBird Code,"aldfly"
alder-flycatcher,Family,"Tyrannidae"
alder-flycatcher,Genus,"Empidonax"
alder-flycatcher,Order,"Passeriformes"
alder-flycatcher,PIF Half Life,"65"
alder-flycatcher,PIF Pop Est,"117998630"
alder-flycatcher,Scientific Name,"Empidonax alnorum"
alder-flycatcher,Species Taxonomy,"alnorum"
alder-flycatcher,WAP15 ID,"ncwap15-spp-alder-flycatcher"
alder-flycatcher,NC Present,"NC"
alder-flycatcher,SGCN,"1"
alder-flycatcher,Present Breeding,"1"
alder-flycatcher,WAP Evaluated,"1"
american-avocet,AOS4 Code,"AMAV"
american-avocet,AOS59 Code,"444"
american-avocet,AOS6 Code,"RECAME"
american-avocet,AOS60 Code,"392"
american-avocet,Avibase Code,"8EB0C1FABC1D725A"
american-avocet,Common Name,"American Avocet"
american-avocet,eBird Code,"ameavo"
american-avocet,Family,"Recurvirostridae"
american-avocet,Genus,"Recurvirostra"
american-avocet,Order,"Charadriiformes"
american-avocet,PIF Half Life,"0"
american-avocet,PIF Pop Est,"450000"
american-avocet,Plan,"South Atlantic Migratory Bird Initiative Implmentation Plan 2008"
american-avocet,Scientific Name,"Recurvirostra americana"
american-avocet,Species Taxonomy,"americana"
american-avocet,WAP15 ID,"ncwap15-spp-american-avocet"
american-avocet,NC Present,"NC"
american-avocet,SGCN,"1"
american-avocet,Present Wintering,"1"
american-avocet,WAP Evaluated,"1"
american-black-duck,AOS4 Code,"ABDU"
american-black-duck,AOS59 Code,"49"
american-black-duck,AOS6 Code,"ANARUB"
american-black-duck,AOS60 Code,"36"
american-black-duck,Avibase Code,"C732CB106EE8BAE8"
american-black-duck,Common Name,"American Black Duck"
american-black-duck,eBird Code,"ambduc"
american-black-duck,Family,"Anatidae"
american-black-duck,Genus,"Anas"
american-black-duck,Order,"Anseriformes"
american-black-duck,PIF Half Life,"0"
american-black-duck,PIF Pop Est,"583500"
american-black-duck,Plan,"South Atlantic Migratory Bird Initiative Implmentation Plan 2008"
american-black-duck,Scientific Name,"Anas rubripes"
american-black-duck,Species Taxonomy,"rubripes"
american-black-duck,WAP15 ID,"ncwap15-spp-american-black-duck"
american-black-duck,NC Present,"NC"
american-black-duck,SGCN,"1"
american-black-duck,WAP Management Concern,"1"
american-black-duck,Present Breeding,"1"
american-black-duck,Present Wintering,"1"
american-black-duck,WAP Evaluated,"1"
american-pipit,AOS4 Code,"AMPI"
american-pipit,AOS59 Code,"1678"
american-pipit,AOS6 Code,"ANTRUB"
american-pipit,AOS60 Code,"1521"
american-pipit,Avibase Code,"8F26868274C1EE0A"
american-pipit,Common Name,"American Pipit"
american-pipit,eBird Code,"amepip"
american-pipit,Family,"Motacillidae"
american-pipit,Genus,"Anthus"
american-pipit,Order,"Passeriformes"
american-pipit,PIF Half Life,"0"
american-pipit,PIF Pop Est,"18034890"
american-pipit,Scientific Name,"Anthus rubescens"
american-pipit,Species Taxonomy,"rubescens"
american-pipit,WAP15 ID,"ncwap15-spp-american-pipit"
american-pipit,NC Present,"NC"
american-pipit,WAP Knowledge Concern,"1"
american-pipit,Present Wintering,"1"
american-pipit,WAP Evaluated,"1"
american-redstart,AOS4 Code,"AMRE"
american-redstart,AOS59 Code,"1983"
american-redstart,AOS6 Code,"SETRUT"
american-redstart,AOS60 Code,"1576"
american-redstart,Avibase Code,"BED38F505F0B8509"
american-redstart,Common Name,"American Redstart"
american-redstart,eBird Code,"amered"
american-redstart,Family,"Parulidae"
american-redstart,Genus,"Setophaga"
american-redstart,Order,"Passeriformes"
american-redstart,PIF Pop Est,"42464674"
american-redstart,Plan,"South Atlantic Migratory Bird Initiative Implmentation Plan 2008"
american-redstart,Scientific Name,"Setophaga ruticilla"
american-redstart,Species Taxonomy,"ruticilla"
american-redstart,WAP15 ID,"ncwap15-spp-american-redstart"
american-redstart,NC Present,"NC"
american-redstart,Present Breeding,"1"
american-redstart,WAP Evaluated,"1"
american-robin,AOS4 Code,"AMRO"
american-robin,AOS59 Code,"1603"
american-robin,AOS6 Code,"TURMIG"
american-robin,AOS60 Code,"1472"
american-robin,Avibase Code,"D77E4B418D581FB2"
american-robin,Common Name,"American Robin"
american-robin,eBird Code,"amerob"
american-robin,Family,"Turdidae"
american-robin,Genus,"Turdus"
american-robin,Order,"Passeriformes"
american-robin,PIF Pop Est,"366076928"
american-robin,Plan,"Status Assessment And Conservation Plan For The Henslow's Sparrow 2012"
american-robin,Scientific Name,"Turdus migratorius"
american-robin,Species Taxonomy,"migratorius"
american-robin,WAP15 ID,"ncwap15-spp-american-robin"
american-robin,NC Present,"NC"
american-robin,Present Breeding,"1"
american-robin,Present Wintering,"1"
american-robin,WAP Evaluated,"1"
american-wigeon,AOS4 Code,"AMWI"
american-wigeon,AOS59 Code,"44"
american-wigeon,AOS6 Code,"MARAME"
american-wigeon,AOS60 Code,"12821"
american-wigeon,Avibase Code,"D201EB7230F20770"
american-wigeon,Common Name,"American Wigeon"
american-wigeon,eBird Code,"amewig"
american-wigeon,Family,"Anatidae"
american-wigeon,Genus,"Mareca"
american-wigeon,Order,"Anseriformes"
american-wigeon,PIF Half Life,"0"
american-wigeon,PIF Pop Est,"2997300"
american-wigeon,Plan,"South Atlantic Migratory Bird Initiative Implmentation Plan 2008"
american-wigeon,Scientific Name,"Mareca americana"
american-wigeon,Species Taxonomy,"americana"
american-wigeon,WAP15 ID,"ncwap15-spp-american-wigeon"
american-wigeon,NC Present,"NC"
american-wigeon,WAP Management Concern,"1"
american-wigeon,Present Wintering,"1"
american-wigeon,WAP Evaluated,"1"
american-woodcock,AOS4 Code,"AMWO"
american-woodcock,AOS59 Code,"512"
american-woodcock,AOS6 Code,"SCOMIN"
american-woodcock,AOS60 Code,"456"
american-woodcock,Avibase Code,"F4829920F1710E56"
american-woodcock,Common Name,"American Woodcock"
american-woodcock,eBird Code,"amewoo"
american-woodcock,Family,"Scolopacidae"
american-woodcock,Genus,"Scolopax"
american-woodcock,Order,"Charadriiformes"
american-woodcock,PIF Half Life,"0"
american-woodcock,PIF Pop Est,"3500000"
american-woodcock,Plan,"South Atlantic Migratory Bird Initiative Implmentation Plan 2008"
american-woodcock,Scientific Name,"Scolopax minor"
american-woodcock,Species Taxonomy,"minor"
american-woodcock,WAP15 ID,"ncwap15-spp-american-woodcock"
american-woodcock,Audubon Priority,"1"
american-woodcock,NC Present,"NC"
american-woodcock,WAP Knowledge Concern,"1"
american-woodcock,WAP Management Concern,"1"
american-woodcock,Present Breeding,"1"
american-woodcock,Present Wintering,"1"
american-woodcock,WAP Evaluated,"1"
bachman's-sparrow,AOS4 Code,"BACS"
bachman's-sparrow,AOS59 Code,"1825"
bachman's-sparrow,AOS6 Code,"PEUAES"
bachman's-sparrow,AOS60 Code,"1697"
bachman's-sparrow,Avibase Code,"DAD22BB68CF2206A"
bachman's-sparrow,Common Name,"Bachman's Sparrow"
bachman's-sparrow,eBird Code,"bacspa"
bachman's-sparrow,Family,"Passerellidae"
bachman's-sparrow,Genus,"Peucaea"
bachman's-sparrow,Order,"Passeriformes"
bachman's-sparrow,PIF Half Life,"24"
bachman's-sparrow,PIF Pop Est,"167964"
bachman's-sparrow,Plan,"Status Assessment And Conservation For The Grasshopper Sparrow 2015"
bachman's-sparrow,Scientific Name,"Peucaea aestivalis"
bachman's-sparrow,Species Taxonomy,"aestivalis"
bachman's-sparrow,State Status,"special concern"
bachman's-sparrow,WAP15 ID,"ncwap15-spp-bachmans-sparrow"
bachman's-sparrow,NC Present,"NC"
bachman's-sparrow,SGCN,"1"
bachman's-sparrow,Present Breeding,"1"
bachman's-sparrow,Present Wintering,"1"
bachman's-sparrow,WAP Evaluated,"1"
bald-eagle,AOS4 Code,"BAEA"
bald-eagle,AOS59 Code,"795"
bald-eagle,AOS6 Code,"HALLEU"
bald-eagle,AOS60 Code,"270"
bald-eagle,Avibase Code,"FED3756C12CF67FA"
bald-eagle,Common Name,"Bald Eagle"
bald-eagle,eBird Code,"baleag"
bald-eagle,Family,"Accipitridae"
bald-eagle,Genus,"Haliaeetus"
bald-eagle,Order,"Accipitriformes"
bald-eagle,PIF Pop Est,"200000"
bald-eagle,Plan,"South Atlantic Migratory Bird Initiative Implmentation Plan 2008"
bald-eagle,Scientific Name,"Haliaeetus leucocephalus"
bald-eagle,Species Taxonomy,"leucocephalus"
bald-eagle,State Status,"threatened"
bald-eagle,WAP15 ID,"ncwap15-spp-bald-eagle"
bald-eagle,Audubon Priority,"1"
bald-eagle,NC Present,"NC"
bald-eagle,SGCN,"1"
bald-eagle,WAP Management Concern,"1"
bald-eagle,Present Breeding,"1"
bald-eagle,Present Wintering,"1"
bald-eagle,WAP Evaluated,"1"
baltimore-oriole,AOS4 Code,"BAOR"
baltimore-oriole,AOS59 Code,"1922"
baltimore-oriole,AOS6 Code,"ICTGAL"
baltimore-oriole,AOS60 Code,"1817"
baltimore-oriole,Avibase Code,"5110842FA06DD11C"
baltimore-oriole,Common Name,"Baltimore Oriole"
baltimore-oriole,eBird Code,"balori"
baltimore-oriole,Family,"Icteridae"
baltimore-oriole,Genus,"Icterus"
baltimore-oriole,Order,"Passeriformes"
baltimore-oriole,PIF Half Life,"81"
baltimore-oriole,PIF Pop Est,"11806532"
baltimore-oriole,Scientific Name,"Icterus galbula"
baltimore-oriole,Species Taxonomy,"galbula"
baltimore-oriole,WAP15 ID,"ncwap15-spp-baltimore-oriole"
baltimore-oriole,NC Present,"NC"
baltimore-oriole,Present Breeding,"1"
baltimore-oriole,Present Wintering,"1"
baltimore-oriole,WAP Evaluated,"1"
belted-kingfisher,AOS4 Code,"BEKI"
belted-kingfisher,AOS59 Code,"907"
belted-kingfisher,AOS6 Code,"MEGALC"
belted-kingfisher,AOS60 Code,"912"
belted-kingfisher,Avibase Code,"3558066B4F7EEB8E"
belted-kingfisher,Common Name,"Belted Kingfisher"
belted-kingfisher,eBird Code,"belkin1"
belted-kingfisher,Family,"Alcedinidae"
belted-kingfisher,Genus,"Megaceryle"
belted-kingfisher,Order,"Coraciiformes"
belted-kingfisher,PIF Pop Est,"1843798"
belted-kingfisher,Scientific Name,"Megaceryle alcyon"
belted-kingfisher,Species Taxonomy,"alcyon"
belted-kingfisher,WAP15 ID,"ncwap15-spp-belted-kingfisher"
belted-kingfisher,NC Present,"NC"
belted-kingfisher,Present Breeding,"1"
belted-kingfisher,Present Wintering,"1"
belted-kingfisher,WAP Evaluated,"1"
bewick's-wren,AOS4 Code,"BEWR"
bewick's-wren,AOS59 Code,"1472"
bewick's-wren,AOS6 Code,"THRBEW"
bewick's-wren,AOS60 Code,"1382"
bewick's-wren,Avibase Code,"603194D371801AC0"
bewick's-wren,Common Name,"Bewick's Wren"
bewick's-wren,eBird Code,"bewwre"
bewick's-wren,Family,"Troglodytidae"
bewick's-wren,Genus,"Thryomanes"
bewick's-wren,Order,"Passeriformes"
bewick's-wren,PIF Half Life,"47"
bewick's-wren,PIF Pop Est,"4567446"
bewick's-wren,Scientific Name,"Thryomanes bewickii"
bewick's-wren,Species Taxonomy,"bewickii"
bewick's-wren,State Status,"endangered"
bewick's-wren,WAP15 ID,"ncwap15-spp-bewicks-wren"
bewick's-wren,NC Present,"NC"
black-bellied-plover,AOS4 Code,"BBPL"
black-bellied-plover,AOS59 Code,"450"
black-bellied-plover,AOS6 Code,"PLUSQU"
black-bellied-plover,AOS60 Code,"371"
black-bellied-plover,Avibase Code,"27903EF7E618A6A2"
black-bellied-plover,Common Name,"Black-bellied Plover"
black-bellied-plover,eBird Code,"bkbplo"
black-bellied-plover,Family,"Charadriidae"
black-bellied-plover,Genus,"Pluvialis"
black-bellied-plover,Order,"Charadriiformes"
black-bellied-plover,PIF Pop Est,"362700"
black-bellied-plover,Plan,"South Atlantic Migratory Bird Initiative Implmentation Plan 2008"
black-bellied-plover,Scientific Name,"Pluvialis squatarola"
black-bellied-plover,Species Taxonomy,"squatarola"
black-bellied-plover,WAP15 ID,"ncwap15-spp-black-bellied-plover"
black-bellied-plover,NC Present,"NC"
black-bellied-plover,SGCN,"1"
black-bellied-plover,WAP Knowledge Concern,"1"
black-bellied-plover,WAP Management Concern,"1"
black-bellied-plover,Present Wintering,"1"
black-bellied-plover,WAP Evaluated,"1"
black-billed-cuckoo,AOS4 Code,"BBCU"
black-billed-cuckoo,AOS59 Code,"209"
black-billed-cuckoo,AOS6 Code,"COCERY"
black-billed-cuckoo,AOS60 Code,"648"
black-billed-cuckoo,Avibase Code,"41E9F54BDA04ACBA"
black-billed-cuckoo,Common Name,"Black-billed Cuckoo"
black-billed-cuckoo,eBird Code,"bkbcuc"
black-billed-cuckoo,Family,"Cuculidae"
black-billed-cuckoo,Genus,"Coccyzus"
black-billed-cuckoo,Order,"Cuculiformes"
black-billed-cuckoo,PIF Half Life,"37"
black-billed-cuckoo,PIF Pop Est,"875781"
black-billed-cuckoo,Scientific Name,"Coccyzus erythropthalmus"
black-billed-cuckoo,Species Taxonomy,"erythropthalmus"
black-billed-cuckoo,WAP15 ID,"ncwap15-spp-black-billed-cuckoo"
black-billed-cuckoo,NC Present,"NC"
black-billed-cuckoo,WAP Knowledge Concern,"1"
black-billed-cuckoo,Present Breeding,"1"
black-billed-cuckoo,WAP Evaluated,"1"
black-capped-chickadee,AOS4 Code,"BCCH"
black-capped-chickadee,AOS59 Code,"1436"
black-capped-chickadee,AOS6 Code,"POEATR"
black-capped-chickadee,AOS60 Code,"1334"
black-capped-chickadee,Avibase Code,"B1F0CC82E34E4541"
black-capped-chickadee,Common Name,"Black-capped Chickadee"
black-capped-chickadee,eBird Code,"bkcchi"
black-capped-chickadee,Family,"Paridae"
black-capped-chickadee,Genus,"Poecile"
black-capped-chickadee,Order,"Passeriformes"
black-capped-chickadee,PIF Pop Est,"43031705"
black-capped-chickadee,Scientific Name,"Poecile atricapillus"
black-capped-chickadee,Species Taxonomy,"atricapillus"
black-capped-chickadee,State Status,"special concern"
black-capped-chickadee,WAP15 ID,"ncwap15-spp-black-capped-chickadee"
black-capped-chickadee,NC Present,"NC"
black-capped-chickadee,WAP Knowledge Concern,"1"
black-capped-chickadee,Present Breeding,"1"
black-capped-chickadee,Present Wintering,"1"
black-capped-chickadee,WAP Evaluated,"1"
black-crowned-night-heron,AOS4 Code,"BCNH"
black-crowned-night-heron,AOS59 Code,"754"
black-crowned-night-heron,AOS6 Code,"NYCNYC"
black-crowned-night-heron,AOS60 Code,"242"
black-crowned-night-heron,Avibase Code,"6BB94D7EA4D041A8"
black-crowned-night-heron,Common Name,"Black-crowned Night-Heron"
black-crowned-night-heron,eBird Code,"bcnher"
black-crowned-night-heron,Family,"Ardeidae"
black-crowned-night-heron,Genus,"Nycticorax"
black-crowned-night-heron,Order,"Pelecaniformes"
black-crowned-night-heron,PIF Pop Est,"419820"
black-crowned-night-heron,Plan,"South Atlantic Migratory Bird Initiative Implmentation Plan 2008"
black-crowned-night-heron,Scientific Name,"Nycticorax nycticorax"
black-crowned-night-heron,Species Taxonomy,"nycticorax"
black-crowned-night-heron,WAP15 ID,"ncwap15-spp-black-crowned-night-heron"
black-crowned-night-heron,NC Present,"NC"
black-crowned-night-heron,SGCN,"1"
black-crowned-night-heron,WAP Knowledge Concern,"1"
black-crowned-night-heron,Present Breeding,"1"
black-crowned-night-heron,Present Wintering,"1"
black-crowned-night-heron,WAP Evaluated,"1"
blackpoll-warbler,AOS4 Code,"BLPW"
blackpoll-warbler,AOS59 Code,"1994"
blackpoll-warbler,AOS6 Code,"SETSTR"
blackpoll-warbler,AOS60 Code,"1569"
blackpoll-warbler,Avibase Code,"544A5E6BC69CEAAC"
blackpoll-warbler,Common Name,"Blackpoll Warbler"
blackpoll-warbler,eBird Code,"bkpwar"
blackpoll-warbler,Family,"Parulidae"
blackpoll-warbler,Genus,"Setophaga"
blackpoll-warbler,Order,"Passeriformes"
blackpoll-warbler,PIF Half Life,"16"
blackpoll-warbler,PIF Pop Est,"59716232"
blackpoll-warbler,Plan,"South Atlantic Migratory Bird Initiative Implmentation Plan 2008"
blackpoll-warbler,Scientific Name,"Setophaga striata"
blackpoll-warbler,Species Taxonomy,"striata"
blackpoll-warbler,WAP15 ID,"ncwap15-spp-blackpoll-warbler"
blackpoll-warbler,NC Present,"NC"
blackpoll-warbler,Present Wintering,"1"
blackpoll-warbler,WAP Evaluated,"1"
black-scoter,AOS4 Code,"BLSC"
black-scoter,AOS59 Code,"70"
black-scoter,AOS6 Code,"MELAME"
black-scoter,AOS60 Code,"65"
black-scoter,Avibase Code,"B7B1A5DD94724A05"
black-scoter,Common Name,"Black Scoter"
black-scoter,eBird Code,"blksco2"
black-scoter,Family,"Anatidae"
black-scoter,Genus,"Melanitta"
black-scoter,Order,"Anseriformes"
black-scoter,PIF Pop Est,"350000"
black-scoter,Plan,"South Atlantic Migratory Bird Initiative Implmentation Plan 2008"
black-scoter,Scientific Name,"Melanitta americana"
black-scoter,Species Taxonomy,"americana"
black-scoter,WAP15 ID,"ncwap15-spp-black-scoter"
black-scoter,NC Present,"NC"
black-scoter,WAP Management Concern,"1"
black-scoter,Present Wintering,"1"
black-scoter,WAP Evaluated,"1"
black-skimmer,AOS4 Code,"BLSK"
black-skimmer,AOS59 Code,"621"
black-skimmer,AOS6 Code,"RYNNIG"
black-skimmer,AOS60 Code,"1937"
black-skimmer,Audubon Conservation Plan,"1"
black-skimmer,Avibase Code,"88AB027C4DF06D93"
black-skimmer,Common Name,"Black Skimmer"
black-skimmer,eBird Code,"blkski"
black-skimmer,Family,"Laridae"
black-skimmer,Genus,"Rynchops"
black-skimmer,Order,"Charadriiformes"
black-skimmer,PIF Pop Est,"60000"
black-skimmer,Plan,"Status Review And Conservation Recommendations For The Gull-Billed Tern In North America 2010"
black-skimmer,Scientific Name,"Rynchops niger"
black-skimmer,Species Taxonomy,"niger"
black-skimmer,State Status,"special concern"
black-skimmer,WAP15 ID,"ncwap15-spp-black-skimmer"
black-skimmer,Audubon Priority,"1"
black-skimmer,NC Present,"NC"
black-skimmer,SGCN,"1"
black-skimmer,WAP Management Concern,"1"
black-skimmer,Present Breeding,"1"
black-skimmer,Present Wintering,"1"
black-skimmer,WAP Evaluated,"1"
black-throated-blue-warbler,AOS4 Code,"BTBW"
black-throated-blue-warbler,AOS59 Code,"1995"
black-throated-blue-warbler,AOS6 Code,"SETCAE"
black-throated-blue-warbler,AOS60 Code,"1549"
black-throated-blue-warbler,Avibase Code,"67B455A71B1C2506"
black-throated-blue-warbler,Common Name,"Black-throated Blue Warbler"
black-throated-blue-warbler,eBird Code,"btbwar"
black-throated-blue-warbler,Family,"Parulidae"
black-throated-blue-warbler,Genus,"Setophaga"
black-throated-blue-warbler,Order,"Passeriformes"
black-throated-blue-warbler,PIF Pop Est,"2415903"
black-throated-blue-warbler,Plan,"Understanding Declines In The Rusty Blackbird - An Indicator Of Wooded Wetland Health 2005"
black-throated-blue-warbler,Scientific Name,"Setophaga caerulescens"
black-throated-blue-warbler,Species Taxonomy,"caerulescens"
black-throated-blue-warbler,WAP15 ID,"ncwap15-spp-black-throated-blue-warbler"
black-throated-blue-warbler,Audubon Priority,"1"
black-throated-blue-warbler,NC Present,"NC"
black-throated-blue-warbler,Present Breeding,"1"
black-throated-blue-warbler,WAP Evaluated,"1"
blue-gray-gnatcatcher,AOS4 Code,"BGGN"
blue-gray-gnatcatcher,AOS59 Code,"1506"
blue-gray-gnatcatcher,AOS6 Code,"POLCAE"
blue-gray-gnatcatcher,AOS60 Code,"2010"
blue-gray-gnatcatcher,Avibase Code,"A15C5071DDEDC552"
blue-gray-gnatcatcher,Common Name,"Blue-gray Gnatcatcher"
blue-gray-gnatcatcher,eBird Code,"buggna"
blue-gray-gnatcatcher,Family,"Polioptilidae"
blue-gray-gnatcatcher,Genus,"Polioptila"
blue-gray-gnatcatcher,Order,"Passeriformes"
blue-gray-gnatcatcher,PIF Pop Est,"229194394"
blue-gray-gnatcatcher,Scientific Name,"Polioptila caerulea"
blue-gray-gnatcatcher,Species Taxonomy,"caerulea"
blue-gray-gnatcatcher,WAP15 ID,"ncwap15-spp-blue-gray-gnatcatcher"
blue-gray-gnatcatcher,NC Present,"NC"
blue-gray-gnatcatcher,Present Breeding,"1"
blue-gray-gnatcatcher,Present Wintering,"1"
blue-gray-gnatcatcher,WAP Evaluated,"1"
blue-grosbeak,AOS4 Code,"BLGR"
blue-grosbeak,AOS59 Code,"2058"
blue-grosbeak,AOS6 Code,"PASCAE"
blue-grosbeak,AOS60 Code,"1763"
blue-grosbeak,Avibase Code,"A7A75EA1A9A57185"
blue-grosbeak,Common Name,"Blue Grosbeak"
blue-grosbeak,eBird Code,"blugrb1"
blue-grosbeak,Family,"Cardinalidae"
blue-grosbeak,Genus,"Passerina"
blue-grosbeak,Order,"Passeriformes"
blue-grosbeak,PIF Pop Est,"20938581"
blue-grosbeak,Scientific Name,"Passerina caerulea"
blue-grosbeak,Species Taxonomy,"caerulea"
blue-grosbeak,WAP15 ID,"ncwap15-spp-blue-grosbeak"
blue-grosbeak,NC Present,"NC"
blue-grosbeak,Present Breeding,"1"
blue-grosbeak,WAP Evaluated,"1"
blue-jay,AOS4 Code,"BLJA"
blue-jay,AOS59 Code,"1382"
blue-jay,AOS6 Code,"CYACRI"
blue-jay,AOS60 Code,"1270"
blue-jay,Avibase Code,"1DA430B8663CD4BE"
blue-jay,Common Name,"Blue Jay"
blue-jay,eBird Code,"blujay"
blue-jay,Family,"Corvidae"
blue-jay,Genus,"Cyanocitta"
blue-jay,Order,"Passeriformes"
blue-jay,PIF Half Life,"105"
blue-jay,PIF Pop Est,"17238587"
blue-jay,Plan,"Piping Plover 5 Year Review 2020"
blue-jay,Scientific Name,"Cyanocitta cristata"
blue-jay,Species Taxonomy,"cristata"
blue-jay,WAP15 ID,"ncwap15-spp-blue-jay"
blue-jay,NC Present,"NC"
blue-jay,Present Breeding,"1"
blue-jay,Present Wintering,"1"
blue-jay,WAP Evaluated,"1"
red-shouldered-hawk,AOS4 Code,"RSHA"
red-shouldered-hawk,AOS59 Code,"818"
red-shouldered-hawk,AOS6 Code,"BUTLIN"
red-shouldered-hawk,AOS60 Code,"296"
red-shouldered-hawk,Avibase Code,"EA4D6C0B76852200"
red-shouldered-hawk,Common Name,"Red-shouldered Hawk"
red-shouldered-hawk,eBird Code,"reshaw"
red-shouldered-hawk,Family,"Accipitridae"
red-shouldered-hawk,Genus,"Buteo"
red-shouldered-hawk,Order,"Accipitriformes"
red-shouldered-hawk,PIF Pop Est,"1827010"
red-shouldered-hawk,Scientific Name,"Buteo lineatus"
red-shouldered-hawk,Species Taxonomy,"lineatus"
red-shouldered-hawk,WAP15 ID,"ncwap15-spp-red-shouldered-hawk"
red-shouldered-hawk,NC Present,"NC"
red-shouldered-hawk,Present Breeding,"1"
red-shouldered-hawk,Present Wintering,"1"
red-shouldered-hawk,WAP Evaluated,"1"
red-tailed-hawk,AOS4 Code,"RTHA"
red-tailed-hawk,AOS59 Code,"825"
red-tailed-hawk,AOS6 Code,"BUTJAM"
red-tailed-hawk,AOS60 Code,"305"
red-tailed-hawk,Avibase Code,"536A5157A50E1F3C"
red-tailed-hawk,Common Name,"Red-tailed Hawk"
red-tailed-hawk,eBird Code,"rethaw"
red-tailed-hawk,Family,"Accipitridae"
red-tailed-hawk,Genus,"Buteo"
red-tailed-hawk,Order,"Accipitriformes"
red-tailed-hawk,PIF Pop Est,"2808115"
red-tailed-hawk,Scientific Name,"Buteo jamaicensis"
red-tailed-hawk,Species Taxonomy,"jamaicensis"
red-tailed-hawk,WAP15 ID,"ncwap15-spp-red-tailed-hawk"
red-tailed-hawk,NC Present,"NC"
red-tailed-hawk,Present Breeding,"1"
red-tailed-hawk,Present Wintering,"1"
red-tailed-hawk,WAP Evaluated,"1"
red-winged-blackbird,AOS4 Code,"RWBL"
red-winged-blackbird,AOS59 Code,"1926"
red-winged-blackbird,AOS6 Code,"AGEPHO"
red-winged-blackbird,AOS60 Code,"1772"
red-winged-blackbird,Avibase Code,"C86D078E641FCE6D"
red-winged-blackbird,Common Name,"Red-winged Blackbird"
red-winged-blackbird,eBird Code,"rewbla"
red-winged-blackbird,Family,"Icteridae"
red-winged-blackbird,Genus,"Agelaius"
red-winged-blackbird,Order,"Passeriformes"
red-winged-blackbird,PIF Half Life,"97"
red-winged-blackbird,PIF Pop Est,"172973570"
red-winged-blackbird,Plan,"Understanding Declines In The Rusty Blackbird - An Indicator Of Wooded Wetland Health 2005"
red-winged-blackbird,Scientific Name,"Agelaius phoeniceus"
red-winged-blackbird,Species Taxonomy,"phoeniceus"
